,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
80,GALG11,2ª,"R$ 115,00",23.12.20,"R$ 109.218.720,00",,Oferta Pública (ICVM 400),07.01.21,Não há,,Não há,Não há,Não há,Não há,20.11 até 16.12.20Liquidação: 22.12.20,Não há,Não há,"R$ 1.150,00 (10 cotas)","R$ 50.000.045,00","R$ 299.999.994,00 (R$ 249.999.995,00 + Lote Adicional de R$ 49.999.999,00)",Guide Investimentos,"Proporcional (para pedidos que excedam R$100.050,00)",Nenhuma,"<td><a href=""https://ticker11.com.br/wp-content/uploads/2020/11/Material-Publicitario-FII-Guardian-Logistica-ICVM-400.pdf"" rel=""noopener noreferrer"" target=""_blank"">Material Publicitário</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=134167&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=134168&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=136187&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 115,00 (Cota de R$ 110,19 + Taxa de R$ 4,81)"
81,GCFF11,2ª,"R$ 100,00",,"R$ 25.816.800,00",,Oferta Pública (ICVM 400),,Não há,,10.11.20,17.11 até 25.11.20,17.11 até 27.11.20Liquidação: 01.12.20,Não há,10.11 até 02.12.20Liquidação: 08.12.20,"7,4599030212 (745,99%)",Não há,"R$ 100,00 (1 cotas)","R$ 25.000.000,00","R$ 72.000.000,00 (R$ 60.000.000,00 + Lote Adicional de R$ 12.000.000,00)",Guide Investimentos,Igualitário (Linear),Nenhuma,"<td><a href=""https://ticker11.com.br/wp-content/uploads/2020/11/Material-Publicitario_Galapagos-Fundo-de-Fundos-FII-GCFF11.pdf"" rel=""noopener noreferrer"" target=""_blank"">Material Publicitário</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125355&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125357&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125358&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=132753&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 100,00 (Cota de R$ 96,26 + Taxa de R$ 3,74)"
82,GCRI11,1ª,"R$ 100,00",09.04.21,"R$ 86.061.400,00",,Oferta Restrita (ICVM 476),Não há,"16.04.21, 28.04.21, 27.05.21, 03.06.21, 10.06.21, 17.06.21, 24.06.21 e 05.07.21",,Não há,Não há,Não há,Não há,Não há,Não há,Não há,Não há,"R$ 20.000.000,00","R$ 100.200.000,00 (R$ 60.000.000,00 + Lote Adicional de R$ 40.200.000,00)",Guide Investimentos,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162250&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=163353&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão das Cotas</a></td>","R$ 100,00"
83,GGRC11,4ª,"R$ 128,77",15.01.21,"R$ 158.434.142,68",,Oferta Restrita (ICVM 476),05.02.21,23.03.21 e 15.04.21,,11.11.20,Não há,16.11 até 07.12.20Liquidação: 09.12.20,Não há,Não há,"0,34578276458 (34,58%)",Não há,Não há,"R$ 30.000.000,00","R$ 336.000.036,24 (R$ 280.000.030,20 + Lote Adicional de R$ 56.000.006,04)",CM Capital,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125052&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125050&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143538&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 128,77 (Cota de R$ 124,52 + Taxa de R$ 4,25)"
84,HAAA11,2ª,"R$ 96,82",14.07.21,"R$ 71.594.500,00",,Oferta Restrita (ICVM 476),,,,22.06.21,,24.06 até 06.07.21Liquidação: 07.07.21,,Não há,"0,3690036900369 (36,9%)",,Não há,"R$ 968.200,00","R$ 145.230.000,00 (R$ 96.820.000,00 + Lote Adicional de R$ 48.410.000,00)",Hedge Investments DTVM,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187109&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href="" https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187136&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187123&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=195180&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 96,82 (Cota de R$ 96,10 + Taxa de R$ 0,72)"
85,HABT11,2ª,"R$ 108,65",,,,Oferta Restrita (ICVM 476),04.03.20,19.05.20,,09.01.20,16.01 até 28.01.20,16.01 até 28.01.20Liquidação: 29.01.20,31.01 até 05.02.20Liquidação: 11.02.20,Não há,"0,5952 (59,52%)",,Não há,"R$ 30.000.075,00","R$ 150.000.060,00",XP Investimentos,Não há,,,"R$ 108,65 (Cota de R$ 105,00 + Taxa de R$ 3,65)"
86,HBRH11,2ª,"R$ 100,00",,,,Oferta Restrita (ICVM 476),,,,31.01.20,04.02 até 17.02.20,04.02 até 17.02.20Liquidação: 18.02.20,21.02 até 03.03.20Liquidação: 09.03.20,Não há,"0,2511 (25,11%)",,Não há,"R$ 45.084.000,00","R$ 45.084.000,00",BR Partners,Não há,,,"R$ 100,00"
87,HCHG11,1ª,,15.06.21,"R$ 120.000.000,00",,Oferta Restrita (ICVM 476),12.07.21,,,,,,,Não há,,,Não há,,,Órama,,,"<td>a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=191648&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank""&gt;Prospecto Definitivo, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=191073&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=191106&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>",
88,HCTR11,10ª,"R$ 119,00",31.08.21,"R$ 603.720.000,00",,Oferta Restrita (ICVM 476),15.09.21,,,29.07.21,Não há,03.08 até 13.08.21Liquidação: 16.08.21,18.08 até 23.08.21Liquidação: 31.08.21,Não há,"0,2953204 (29,53%)","1,49692763642468 (149,69%)",Não há,"R$ 81.900.000,00","R$ 603.720.000,00 (R$ 503.100.000,00 + Lote Adicional de R$ 100.620.000,00)",Warren,Proporcional,,"<td><a href="" https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197189&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197190&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=198380&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207149&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=210990&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=212920&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 119,00 (Cota de R$ 117,00 + Taxa de R$ 2,00)"
89,HCTR11,2ª,"R$ 1.108,14",,,,Oferta Restrita (ICVM 476),,,,31.07.19,Não há,07.08 até 19.08.19Liquidação: 20.08.19,Não há,Não há,"3,8342 (383,42%)",Não há,Não há,,,,Não há,,,"R$ 1.108,14"
90,HCTR11,3ª,"R$ 113,46",,,,Oferta Restrita (ICVM 476),13.01.20,20.03.20,,26.11.19,Não há,02.12 até 12.12.19Liquidação: 13.12.19,Não há,Não há,"1,3556 (135,56%)",Não há,Não há,"R$ 20.000.048,04","R$ 70.000.054,68",,Não há,,,"R$ 113,46"
91,HCTR11,4ª,"R$ 117,83",06.04.20,,,Oferta Pública (ICVM 400),,,,13.02.20,20.02 até 03.03.20,20.02 até 05.03.20Liquidação: 06.03.20,Não há,20.02 até 23.03.20Liquidação: 30.03.20,1 (100%),Não há,"R$ 1.178,31 ( cotas)","R$ 40.000.652,37","R$ 151.585.790,45 (R$ 126.321.492,04 + Lote Adicional de R$ 25.264.298,41)",Órama,Proporcional,,,"R$ 117,83"
92,HCTR11,5ª,"R$ 115,59",,,,Oferta Restrita (ICVM 476),,,,03.07.20,Não há,10.07 até 22.07.20Liquidação: 23.07.20,27.07 até 30.07.20Liquidação: 05.08.20,Não há,"0,4496 (44,96%)",,Não há,"R$ 30.000.113,01","R$ 100.000.029,93",Órama DTVM,Não há,,,"R$ 115,59"
93,HCTR11,6ª,"R$ 116,69",19.10.20,"R$ 150.000.094,02",,Oferta Restrita (ICVM 476),11.11.20,Não há,,16.09.20,Não há,18.09 até 30.09.20Liquidação: 01.10.20,05.10 até 08.10.20Liquidação: 16.10.20,Não há,"0,384 (38,4%)","0,63309870206 (63,31%)",Não há,"R$ 25.000.015,67","R$ 150.000.094,02 (R$ 125.000.078,35 + Lote Adicional de R$ 25.000.015,67)",Órama DTVM,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=122447&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125227&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Recibos</a></td>","R$ 116,69 (Cota de R$ 116,69 + Taxa de R$ 0,00)"
94,HCTR11,7ª,"R$ 119,83",,"R$ 359.999.909,25",,Oferta Restrita (ICVM 476),26.01.21,12.04.21 e 19.04.21,,16.11.20,Não há,23.11 até 09.12.20Liquidação: 10.12.20,14.12 até 17.12.20Liquidação: 28.12.20,Não há,"0,6306630300035 (63,07%)","0,26860801077 (26,86%)",Não há,"R$ 24.984.500,00","R$ 359.999.909,25 (R$ 299.999.982,75 + Lote Adicional de R$ 59.999.926,50)",Órama,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124339&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124343&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141172&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141548&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 119,83 (Cota de R$ 116,75 + Taxa de R$ 3,08)"
95,HCTR11,8ª,"R$ 120,86",11.03.21,"R$ 359.998.723,50",~19% sobre o total exercido na Preferência e Sobras,Oferta Restrita (ICVM 476),12.04.21,Não há,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/8cqASnZvAww"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",03.02.21,Não há,08.02 até 23.02.21Liquidação: 24.02.21,26.02 até 03.03.21Liquidação: 10.03.21,Não há,"0,35593610565 (35,59%)","0,52172540709572 (52,17%)",Não há,"R$ 25.198.500,00","R$ 359.999.901,00 (R$ 299.999.917,50 + Lote Adicional de R$ 59.999.983,50)",Órama,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://youtu.be/8cqASnZvAww"" rel=""noopener noreferrer"" target=""_blank"">Vídeo-resumo da Emissão</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143122&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143124&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143120&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=153739&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Montante Adicional</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=154431&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=158077&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Cotas</a></td>","R$ 120,86 (Cota de R$ 117,75 + Taxa de R$ 3,11)"
96,HCTR11,9ª,"R$ 118,32",07.06.21,"R$ 504.043.200,00",,Oferta Restrita (ICVM 476),16.06.21,,,04.05.21,Não há,07.05 até 19.05.21Liquidação: 20.05.21,24.05 até 27.05.21Liquidação: 04.06.21,Não há,"0,354469 (35,45%)","0,64242311545 (64,24%)",Não há,"R$ 81.200.000,00","R$ 504.043.200,00 (R$ 420.036.000,00 + Lote Adicional de R$ 84.007.200,00)",Warren CTVM,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=168543&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=168508&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=168519&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178641&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=182292&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=184017&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a></td>","R$ 118,32 (Cota de R$ 116,00 + Taxa de R$ 2,32)"
97,HDOF11,2ª,"R$ 102,50",30.03.21,"R$ 157.000.000,00",,Oferta Restrita (ICVM 476),Não há,,,30.10.20,Não há,03.11 até 16.11.20Liquidação: 16.11.20,Não há,Não há,"0,6666666 (66,67%)",Não há,Não há,"R$ 10.000.000,00","R$ 219.996.000,00 (R$ 120.000.000,00 + Lote Adicional de R$ 99.996.000,00)",Hedge Investments,Não há,"¹ Data de encerramento do Exercício de Preferência na B3 não especificada. Portanto, confirme a data com a sua corretora.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124452&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124453&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=159062&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 102,50 (Cota de R$ 100,00 + Taxa de R$ 2,50)"
98,HFOF11,10ª,"R$ 98,59",27.05.21,"R$ 137.687.760,00",,Oferta Restrita (ICVM 476),04.06.21,,,22.04.21,Não há,26.04 até 06.05.21Liquidação: 07.05.21,11.05 até 14.05.21Liquidação: 21.05.21,Não há,"0,0952800853947 (9,53%)","3,5509009528541 (355,09%)",Não há,"R$ 964.200,00","R$ 381.148.260,00 (R$ 197.950.260,00 + Lote Adicional de R$ 183.198.000,00)",Hedge Investments,,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=165840&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=165841&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=165842&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=165840"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172587&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179629&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 98,59 (Cota de R$ 96,42 + Taxa de R$ 2,17)"
99,HFOF11,6ª,"R$ 103,45",,,,Oferta Restrita (ICVM 476),02.01.20,,,18.10.19,25.10 até 13.11.19,25.10 até 14.11.19Liquidação: 18.11.19,21.11 até 29.11.19Liquidação: 05.12.19,Não há,"0,187 (18,7%)",,Não há,"R$ 1.011.700,00","R$ 160.860.300,00",,Não há,,,"R$ 103,45 (Cota de R$ 101,17 + Taxa de R$ 2,28)"
100,HFOF11,7ª,"R$ 112,96",13.03.20,,,Oferta Restrita (ICVM 476),01.04.20,,,04.02.20,05.02 até 14.02.20,05.02 até 17.02.20Liquidação: 18.02.20,20.02 até 03.03.20Liquidação: 09.03.20,Não há,"0,321 (32,1%)",,Não há,"R$ 1.104.700,00","R$ 505.174.449,32 (R$ 400.000.049,71 + Lote Adicional de R$ 105.174.399,61)",Hedge Investments,Não há,,,"R$ 112,96 (Cota de R$ 110,47 + Taxa de R$ 2,49)"
101,HFOF11,8ª,"R$ 100,36",24.07.20,,,Oferta Restrita (ICVM 476),03.08.20,,,12.06.20,Não há,19.06 até 01.07.20Liquidação: 02.07.20,06.07 até 09.07.20Liquidação: 15.07.20,Não há,"0,0964 (9,64%)",,Não há,"R$ 981.500,00","R$ 200.010.124,14 (R$ 150.000.093,10 + Lote Adicional de R$ 50.010.031,04)",Hedge Investments,Não há,,,"R$ 100,36 (Cota de R$ 98,15 + Taxa de R$ 2,21)"
102,HFOF11,9ª,"R$ 102,85",30.11.20,"R$ 267.213.613,17",,Oferta Restrita (ICVM 476),03.12.20,,,09.10.20,,14.10 até 26.10.20Liquidação: 27.10.20,29.10 até 04.11.20Liquidação: 11.11.20,Não há,"0,1538 (15,38%)","2,4447945933632 (244,48%)",Não há,"R$ 1.005.900,00","R$ 413.077.016,80 (R$ 292.361.113,17 + Lote Adicional de R$ 120.715.903,63)",Hedge Investments,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=120257&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=120259&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato da Administradora</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=120261&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=123352&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Encerramento do Período de Preferência</a></td>","R$ 102,85 (Cota de R$ 100,59 + Taxa de R$ 2,26)"
103,HGBS11,8ª,"R$ 236,62",,,,Oferta Restrita (ICVM 476),01.10.19,,,29.07.19,Não há,02.08 até 14.08.19Liquidação: 15.08.19,19.08 até 23.08.19Liquidação: 23.08.19,27.08 até 09.09.19Liquidação: 09.09.19,"0,3172 (31,72%)",,Não há,,,,Não há,,,"R$ 236,62"
104,HGCR11,6ª,"R$ 108,54",,,,Oferta Pública (ICVM 400),01.10.19,,,24.07.19,01.08 até 13.08.19,01.08 até 13.08.19Liquidação: 15.08.19,Não há,16.08 até 30.08.19Liquidação: 04.09.19,"0,4071 (40,71%)",Não há,"R$ 5.457,00 ( cotas)",,,,,,,"R$ 108,54"
105,HGCR11,7ª,"R$ 110,05",,,,Oferta Pública (ICVM 400),03.02.20,,,26.11.19,04.12 até 10.12.19,04.12 até 16.12.19Liquidação: 18.12.19,Não há,19.12 até 17.01.20Liquidação: 23.01.20,"0,3496 (34,96%)",Não há,"R$ 5.502,50 ( cotas)","R$ 50.000.087,55","R$ 388.799.898,20 (R$ 323.999.950,61 + Lote Adicional de R$ 64.799.947,59)",,Proporcional,,,"R$ 110,05 (Cota de R$ 106,33 + Taxa de R$ 3,72)"
106,HGFF11,1ª,"R$ 103,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,29.07 até 19.08.19Liquidação: 22.08.19,Não há,Não há,"R$ 5.150,00 ( cotas)",,,,,,,"R$ 103,00"
107,HGFF11,2ª,"R$ 98,38",22.09.20,,,Oferta Pública (ICVM 400),01.10.20,Não há,,10.08.20,Não há,18.08 até 28.08.20Liquidação: 01.09.20,Não há,02.09 até 16.09.20Liquidação: 22.09.20,"1,1632 (116,32%)",Não há,"R$ 4.919,00 (50 cotas)","R$ 20.000.073,12","R$ 239.999.960,45 (R$ 199.999.967,04 + Lote Adicional de R$ 39.999.993,41)",Credit Suisse,Proporcional,,,"R$ 98,38 (Cota de R$ 95,52 + Taxa de R$ 2,86)"
108,HGIC11,1ª,"R$ 104,25",24.03.21,"R$ 13.379.340,75",,Oferta Restrita (ICVM 476),12.04.21,Não há,,Não há,Não há,Não há,Não há,Não há,Não há,Não há,Não há,,,,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=161542&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Formulário de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=161545&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão das Cotas</a></td>","R$ 104,25"
109,HGIC11,2ª,"R$ 105,50",19.07.21,"R$ 16.065.951,50",,Oferta Restrita (ICVM 476),30.07.21,Não há,,13.04.21,Não há,16.04 até 29.04.21Liquidação: 30.04.21,Não há,Não há,"7,79186374 (779,19%)",Não há,Não há,"R$ 103,00","R$ 103.000.000,00",High Gestão e Investimentos,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162524&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162139&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162527&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197469&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197467&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 105,50 (Cota de R$ 103,00 + Taxa de R$ 2,50)"
110,HGLG11,6ª,"R$ 155,37",10.08.20,,,Oferta Pública (ICVM 400),01.09.20,,,08.07.20,Não há,16.07 até 28.07.20Liquidação: 30.07.20,Não há,31.07 até 05.08.20Liquidação: 10.08.20,"0,4597 (45,97%)",Não há,"R$ 15.537,00 ( cotas)","R$ 100.000.036,08","R$ 983.999.850,62 (R$ 819.999.875,52 + Lote Adicional de R$ 163.999.975,10)",Credit Suisse,Proporcional,,,"R$ 155,37 (Cota de R$ 150,12 + Taxa de R$ 5,25)"
